Object    HJD 24...     Filter  Magnitude
SU_Hor    55903.35166      V      14.540
SU_Hor    55903.35141      B      14.955
SU_Hor    55904.36338     Ic      14.023
SU_Hor    55904.36308      V      14.559
SU_Hor    55904.36271      B      14.935
su hor    55904.34257      V      14.561
SU_Hor    55904.34221      B      14.979
SU_Hor    55904.31488     Ic      13.996
SU_Hor    55904.31458      V      14.568
SU_Hor    55904.31422      B      14.968
SU Hor    55904.26819     Ic      13.919
SU Hor    55904.26788      V      14.518
SU Hor    55904.26752      B      14.930
SU Hor    55905.28459      V      14.570
SU_Hor    55905.34755     Ic      14.139
SU_Hor    55905.36220     Ic      14.148
SU_Hor    55905.36190      V      14.701
SU_Hor    55905.36154      B      15.114
SU_Hor    55905.34724      V      14.654
SU_Hor    55905.34688      B      15.053
SU_Hor    55905.33699     Ic      14.056
SU_Hor    55905.33673      V      14.622
SU_Hor    55905.33643      B      15.003
SU_Hor    55905.31762     Ic      13.985
SU_Hor    55905.31728      V      14.548
SU_Hor    55905.31683      B      14.952
SU_Hor    55905.28489     Ic      14.014
SU_Hor    55905.28423      B      14.982
SU_Hor    55905.26789     Ic      14.007
SU_Hor    55905.26762      V      14.581
SU_Hor    55905.26726      B      15.007
SU_Hor    55906.30698     Ic      14.122
SU_Hor    55906.30667      V      14.719
SU_Hor    55906.40124     Ic      13.371
SU_Hor    55906.28820     Ic      14.117
SU_Hor    55906.28796      V      14.651
SU_Hor    55906.28760      B      15.056
SU_Hor    55906.28348      V      14.603
SU_Hor    55906.28312      B      15.058
SU_Hor    55906.26741     Ic      14.032
SU_Hor    55906.26710      V      14.578
SU_Hor    55906.26674      B      14.927
SU_Hor    55906.40094      V      13.538
SU_Hor    55906.34763     Ic      13.512
SU_Hor    55906.37236      B      13.277
SU_Hor    55906.36780     Ic      13.154
SU_Hor    55906.36762      V      13.246
SU_Hor    55906.36736      B      13.299
SU_Hor    55906.35975     Ic      13.211
SU_Hor    55906.35945      V      13.315
SU_Hor    55906.35909      B      13.371
SU_Hor    55906.35400     Ic      13.328
SU_Hor    55906.35370      V      13.456
SU_Hor    55906.28372     Ic      14.112
SU_Hor    55906.35333      B      13.565
SU_Hor    55906.34733      V      13.765
SU_Hor    55906.34697      B      13.959
SU_Hor    55906.34333     Ic      13.657
SU_Hor    55906.34302      V      13.985
SU_Hor    55906.34267      B      14.204
SU_Hor    55906.33348     Ic      13.926
SU_Hor    55906.33318      V      14.357
SU_Hor    55906.33282      B      14.708
SU_Hor    55906.32739     Ic      14.015
SU_Hor    55906.32709      V      14.530
SU_Hor    55906.32673      B      14.954
SU_Hor    55906.31982     Ic      14.093
SU_Hor    55906.31948      V      14.648
SU_Hor    55906.31903      B      15.105
SU_Hor    55906.40058      B      13.643
RZ_Lyr    55294.6444       B      12.339	 
RZ_Lyr    55314.4528       B      12.613	 
RZ_Lyr    55314.4557       B      12.606	 
RZ_Lyr    55314.4586       B      12.604	 
RZ_Lyr    55314.4615       B      12.612	 
RZ_Lyr    55314.4644       B      12.603	 
RZ_Lyr    55314.4674       B      12.612	 
RZ_Lyr    55314.4703       B      12.612	 
RZ_Lyr    26585.2570       V      10.130
RZ_Lyr    26586.2820       V      10.380
RZ_Lyr    26588.3280       V      10.290
RZ_Lyr    26589.3500       V      10.340
RZ_Lyr    26603.1450       V      10.040
RZ_Lyr    26604.1700       V      10.050
RZ_Lyr    26605.1940       V      10.020
RZ_Lyr    26607.2420       V      10.160
RZ_Lyr    26950.2880       V      9.980
RZ_Lyr    26952.3300       V      10.130
RZ_Lyr    26973.2970       V      10.400
RZ_Lyr    27359.3030       V      10.630
RZ_Lyr    27684.4510       V      10.610
RZ_Lyr    27685.4780       V      10.580
RZ_Lyr    27701.3150       V      10.700
RZ Lyr    27934.4560       V      10.660
RZ Lyr    27955.4100       V      10.570
rzlyr     30604.2000       V      11.030
RZ_Lyr    55314.5695       B      12.047
RZ_Lyr    55314.5724       B      12.036
RZ_Lyr    55314.5900       B      12.042
RZ_Lyr    55314.6105       B      12.045
RZ_Lyr    55314.6163       B      12.027
RZ_Lyr    55342.3509       B      12.057
RZLyr     55342.3557       B      12.058
RZ_Lyr    55342.3606       B      12.052
RZ_Lyr    55342.3654       B      12.058
                                  
                          
                          
                          
                          
